index;CD_MUNICIPIO_IBGE;Município;UF;Turno;Nome candidato;Partido;Cargo;Votos válidos;Votos nominais;ano;renda_pc;prop_ocupados_agropecuaria;prop_ocupados_comercio;prop_ocupados_construcao;prop_ocupados_servicos;prop_ocupados_transformacao;idhm;idhm_r
0;3550308;SÃO PAULO;SP;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;6869405;3677921;2010.0;1516.21;0.33;16.01;5.39;57.07;11.36;0.805;0.843
1;3550308;SÃO PAULO;SP;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;6892638;3276512;2010.0;1516.21;0.33;16.01;5.39;57.07;11.36;0.805;0.843
2;3550308;SÃO PAULO;SP;2;JAIR MESSIAS BOLSONARO;PL;Presidente;6869405;3191484;2010.0;1516.21;0.33;16.01;5.39;57.07;11.36;0.805;0.843
3;3550308;SÃO PAULO;SP;1;JAIR MESSIAS BOLSONARO;PL;Presidente;6892638;2618593;2010.0;1516.21;0.33;16.01;5.39;57.07;11.36;0.805;0.843
4;3304557;RIO DE JANEIRO;RJ;2;JAIR MESSIAS BOLSONARO;PL;Presidente;3663368;1929209;2010.0;1492.63;0.31;16.44;5.91;61.93;6.32;0.799;0.84
5;3304557;RIO DE JANEIRO;RJ;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;3663368;1734159;2010.0;1492.63;0.31;16.44;5.91;61.93;6.32;0.799;0.84
6;3304557;RIO DE JANEIRO;RJ;1;JAIR MESSIAS BOLSONARO;PL;Presidente;3608284;1695777;2010.0;1492.63;0.31;16.44;5.91;61.93;6.32;0.799;0.84
7;3304557;RIO DE JANEIRO;RJ;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;3608284;1568485;2010.0;1492.63;0.31;16.44;5.91;61.93;6.32;0.799;0.84
8;2927408;SALVADOR;BA;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1541030;1089899;2010.0;973.0;0.62;17.3;8.73;57.37;6.31;0.759;0.772
9;5300108;BRASÍLIA;DF;2;JAIR MESSIAS BOLSONARO;PL;Presidente;1770626;1041331;2010.0;1715.11;1.84;14.55;6.28;62.48;4.25;0.824;0.863
10;2927408;SALVADOR;BA;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1526709;1022728;2010.0;973.0;0.62;17.3;8.73;57.37;6.31;0.759;0.772
11;5300108;BRASÍLIA;DF;1;JAIR MESSIAS BOLSONARO;PL;Presidente;1762575;910397;2010.0;1715.11;1.84;14.55;6.28;62.48;4.25;0.824;0.863
12;2304400;FORTALEZA;CE;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1513568;880559;2010.0;846.36;0.8;20.23;6.23;51.55;13.8;0.754;0.749
13;3106200;BELO HORIZONTE;MG;2;JAIR MESSIAS BOLSONARO;PL;Presidente;1538303;834548;2010.0;1497.29;0.49;15.92;7.02;59.26;9.15;0.81;0.841
14;2304400;FORTALEZA;CE;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1507639;802009;2010.0;846.36;0.8;20.23;6.23;51.55;13.8;0.754;0.749
15;5300108;BRASÍLIA;DF;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1770626;729295;2010.0;1715.11;1.84;14.55;6.28;62.48;4.25;0.824;0.863
16;4106902;CURITIBA;PR;2;JAIR MESSIAS BOLSONARO;PL;Presidente;1111997;720322;2010.0;1581.04;0.8;16.97;5.83;53.68;12.98;0.823;0.85
17;3106200;BELO HORIZONTE;MG;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1538303;703755;2010.0;1497.29;0.49;15.92;7.02;59.26;9.15;0.81;0.841
18;3106200;BELO HORIZONTE;MG;1;JAIR MESSIAS BOLSONARO;PL;Presidente;1500199;699105;2010.0;1497.29;0.49;15.92;7.02;59.26;9.15;0.81;0.841
19;1302603;MANAUS;AM;2;JAIR MESSIAS BOLSONARO;PL;Presidente;1130271;692580;2010.0;790.27;1.31;18.1;7.68;47.54;16.37;0.737;0.738
20;5300108;BRASÍLIA;DF;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1762575;649534;2010.0;1715.11;1.84;14.55;6.28;62.48;4.25;0.824;0.863
21;3106200;BELO HORIZONTE;MG;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1500199;638002;2010.0;1497.29;0.49;15.92;7.02;59.26;9.15;0.81;0.841
22;2304400;FORTALEZA;CE;2;JAIR MESSIAS BOLSONARO;PL;Presidente;1513568;633009;2010.0;846.36;0.8;20.23;6.23;51.55;13.8;0.754;0.749
23;1302603;MANAUS;AM;1;JAIR MESSIAS BOLSONARO;PL;Presidente;1163097;622846;2010.0;790.27;1.31;18.1;7.68;47.54;16.37;0.737;0.738
24;4106902;CURITIBA;PR;1;JAIR MESSIAS BOLSONARO;PL;Presidente;1108054;612309;2010.0;1581.04;0.8;16.97;5.83;53.68;12.98;0.823;0.85
25;3550308;SÃO PAULO;SP;1;SIMONE NASSAR TEBET;MDB;Presidente;6892638;558748;2010.0;1516.21;0.33;16.01;5.39;57.07;11.36;0.805;0.843
26;2611606;RECIFE;PE;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;992007;558690;2010.0;1144.26;0.66;19.36;5.65;59.59;6.6;0.772;0.798
27;2611606;RECIFE;PE;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;996696;538562;2010.0;1144.26;0.66;19.36;5.65;59.59;6.6;0.772;0.798
28;2304400;FORTALEZA;CE;1;JAIR MESSIAS BOLSONARO;PL;Presidente;1507639;530162;2010.0;846.36;0.8;20.23;6.23;51.55;13.8;0.754;0.749
29;5208707;GOIÂNIA;GO;2;JAIR MESSIAS BOLSONARO;PL;Presidente;802190;513018;2010.0;1348.55;1.44;20.21;6.69;50.82;13.31;0.799;0.824
30;2927408;SALVADOR;BA;2;JAIR MESSIAS BOLSONARO;PL;Presidente;1541030;451131;2010.0;973.0;0.62;17.3;8.73;57.37;6.31;0.759;0.772
31;5208707;GOIÂNIA;GO;1;JAIR MESSIAS BOLSONARO;PL;Presidente;794642;445715;2010.0;1348.55;1.44;20.21;6.69;50.82;13.31;0.799;0.824
32;4314902;PORTO ALEGRE;RS;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;818297;437798;2010.0;1758.27;0.72;15.99;5.98;63.04;6.25;0.805;0.867
33;1302603;MANAUS;AM;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1130271;437691;2010.0;790.27;1.31;18.1;7.68;47.54;16.37;0.737;0.738
34;2611606;RECIFE;PE;2;JAIR MESSIAS BOLSONARO;PL;Presidente;992007;433317;2010.0;1144.26;0.66;19.36;5.65;59.59;6.6;0.772;0.798
35;1501402;BELÉM;PA;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;858909;431858;2010.0;853.82;1.62;23.09;7.49;54.16;5.48;0.746;0.751
36;1302603;MANAUS;AM;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1163097;430562;2010.0;790.27;1.31;18.1;7.68;47.54;16.37;0.737;0.738
37;1501402;BELÉM;PA;2;JAIR MESSIAS BOLSONARO;PL;Presidente;858909;427051;2010.0;853.82;1.62;23.09;7.49;54.16;5.48;0.746;0.751
38;4314902;PORTO ALEGRE;RS;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;827993;412553;2010.0;1758.27;0.72;15.99;5.98;63.04;6.25;0.805;0.867
39;1501402;BELÉM;PA;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;857507;392207;2010.0;853.82;1.62;23.09;7.49;54.16;5.48;0.746;0.751
40;4106902;CURITIBA;PR;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1111997;391675;2010.0;1581.04;0.8;16.97;5.83;53.68;12.98;0.823;0.85
41;3518800;GUARULHOS;SP;2;JAIR MESSIAS BOLSONARO;PL;Presidente;728923;391234;2010.0;829.91;0.35;14.85;6.11;49.95;18.05;0.763;0.746
42;2611606;RECIFE;PE;1;JAIR MESSIAS BOLSONARO;PL;Presidente;996696;390904;2010.0;1144.26;0.66;19.36;5.65;59.59;6.6;0.772;0.798
43;4314902;PORTO ALEGRE;RS;2;JAIR MESSIAS BOLSONARO;PL;Presidente;818297;380499;2010.0;1758.27;0.72;15.99;5.98;63.04;6.25;0.805;0.867
44;1501402;BELÉM;PA;1;JAIR MESSIAS BOLSONARO;PL;Presidente;857507;370564;2010.0;853.82;1.62;23.09;7.49;54.16;5.48;0.746;0.751
45;3509502;CAMPINAS;SP;2;JAIR MESSIAS BOLSONARO;PL;Presidente;655030;368251;2010.0;1390.83;1.13;14.74;5.96;53.43;12.07;0.805;0.829
46;2927408;SALVADOR;BA;1;JAIR MESSIAS BOLSONARO;PL;Presidente;1526709;367452;2010.0;973.0;0.62;17.3;8.73;57.37;6.31;0.759;0.772
47;2111300;SÃO LUÍS;MA;2;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;601416;363131;2010.0;805.36;1.83;19.55;10.39;53.39;5.8;0.768;0.741
48;4106902;CURITIBA;PR;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;1108054;348166;2010.0;1581.04;0.8;16.97;5.83;53.68;12.98;0.823;0.85
49;2111300;SÃO LUÍS;MA;1;LUIZ INÁCIO LULA DA SILVA;PT;Presidente;610825;345123;2010.0;805.36;1.83;19.55;10.39;53.39;5.8;0.768;0.741
